title,popularity,collection,genres_encoded
Toy Story,21.946943,Toy Story Collection,"[2, 3, 7]"
Jumanji,17.015539,,"[1, 8, 7]"
Grumpier Old Men,11.7129,Grumpy Old Men Collection,"[14, 3]"
Waiting to Exhale,3.859495,,"[3, 6, 14]"
Father of the Bride Part II,8.387519,Father of the Bride Collection,[3]
Heat,17.924927,,"[0, 4, 6, 17]"
Sabrina,6.677277,,"[3, 14]"
Tom and Huck,2.561161,,"[0, 1, 6, 7]"
Sudden Death,5.23158,,"[0, 1, 17]"
GoldenEye,14.686036,James Bond Collection,"[1, 0, 17]"
The American President,6.318445,,"[3, 6, 14]"
Dracula: Dead and Loving It,5.430331,,"[3, 11]"
Balto,12.140733,Balto Collection,"[7, 2, 1]"
Nixon,5.092,,"[10, 6]"
Cutthroat Island,7.284477,,"[0, 1]"
Casino,10.137389,,"[6, 4]"
Sense and Sensibility,10.673167,,"[6, 14]"
Four Rooms,9.026586,,"[4, 3]"
Ace Ventura: When Nature Calls,8.205448,Ace Ventura Collection,"[4, 3, 1]"
Money Train,7.337906,,"[0, 3, 4]"
Get Shorty,12.669608,Chili Palmer Collection,"[3, 17, 4]"
Copycat,10.701801,,"[6, 17]"
Assassins,11.065939,,"[0, 1, 4, 17]"
Powder,12.133094,,"[6, 8, 15, 17]"
Leaving Las Vegas,10.332025,,"[6, 14]"
Othello,1.845899,,[6]
Now and Then,8.681325,,"[3, 6, 7]"
Persuasion,2.228434,,"[6, 14]"
The City of Lost Children,9.822423,,"[8, 15, 1]"
Shanghai Triad,1.100915,,"[6, 4]"
Dangerous Minds,9.481338,,"[6, 4]"
Twelve Monkeys,12.297305,,"[15, 17, 13]"
Wings of Courage,0.745542,,"[14, 1]"
Babe,14.404764,Babe Collection,"[8, 6, 3, 7]"
Carrington,1.493361,,"[10, 6, 14]"
Dead Man Walking,6.891317,,[6]
Across the Sea of Time,0.114469,,"[1, 10, 6, 7]"
It Takes Two,7.777735,,"[3, 7, 14]"
Clueless,9.882383,,"[3, 6, 14]"
"Cry, the Beloved Country",0.894647,,[6]
Richard III,4.561387,,"[6, 18]"
Dead Presidents,9.87957,,"[0, 4, 6, 10]"
Restoration,10.979269,,"[6, 14]"
Mortal Kombat,10.870138,Mortal Kombat Collection,"[0, 8]"
To Die For,10.448481,,"[8, 6, 3, 17]"
How To Make An American Quilt,4.485958,,"[6, 14]"
Se7en,18.45743,,"[4, 13, 17]"
Pocahontas,13.280069,Pocahontas Collection,"[1, 2, 6, 7]"
When Night Is Falling,3.302524,,"[6, 14]"
The Usual Suspects,16.302466,,"[6, 4, 17]"
Guardian Angel,0.595949,,"[0, 17, 6]"
Mighty Aphrodite,15.899134,,"[3, 14]"
Lamerica,1.361286,,"[6, 9]"
The Big Green,5.982764,,"[0, 1, 3, 7]"
Georgia,4.093443,,[6]
Kids of the Round Table,0.307075,,[]
Home for the Holidays,8.416802,,"[3, 6, 14]"
The Postman,10.168437,,"[3, 6, 14]"
The Confessional,0.120789,,"[17, 6, 13]"
The Indian in the Cupboard,10.673296,,"[1, 7, 8]"
Eye for an Eye,4.733526,,"[6, 17]"
Mr. Holland's Opus,7.137117,,"[12, 6, 7]"
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,11.700115,,[3]
Two If by Sea,2.174487,,"[3, 14]"
Bio-Dome,6.387469,,[3]
Lawnmower Man 2: Beyond Cyberspace,2.49535,The Lawnmower Man Collection,"[0, 15]"
Two Bits,4.046208,,"[6, 7]"
French Twist,2.518051,,"[3, 14]"
Friday,14.56965,Friday Collection,[3]
From Dusk Till Dawn,15.339153,From Dusk Till Dawn Collection,"[11, 0, 17, 4]"
Fair Game,5.912223,,"[0, 17, 14]"
Kicking and Screaming,3.367276,,"[3, 6, 14]"
Les Miserables,1.479446,,"[6, 10]"
Bed of Roses,10.412194,,"[6, 14]"
Big Bully,2.936443,,"[3, 7]"
Screamers,12.758848,Screamers Collection,"[11, 15]"
Nico Icon,0.133893,,[5]
The Crossing Guard,5.756462,,"[6, 17]"
The Juror,6.010579,,"[6, 17]"
The White Balloon,1.196256,,"[7, 6]"
Things to Do in Denver When You're Dead,4.486179,,"[6, 4]"
Antonia's Line,2.030174,,"[6, 3]"
Once Upon a Time... When We Were Colored,0.252287,,"[14, 6]"
Last Summer in the Hamptons,0.531159,,[]
Angels and Insects,2.15166,,"[6, 14]"
White Squall,9.568604,,"[0, 6]"
Dunston Checks In,4.814825,,"[1, 3, 7]"
Black Sheep,8.963037,,[3]
Nick of Time,6.848591,,"[4, 6, 17]"
The Journey of August King,0.411424,,[6]
Mary Reilly,12.866139,,"[6, 11, 17, 14]"
Vampire in Brooklyn,9.071127,,"[3, 11, 14]"
Beautiful Girls,4.670562,,"[3, 6, 14]"
Broken Arrow,14.957626,,"[0, 1, 6, 17]"
A Midwinter's Tale,0.513391,,[3]
La Haine,12.108196,,[6]
Shopping,2.657647,,"[0, 1, 6, 15, 17]"
Heidi Fleiss: Hollywood Madam,0.638211,,[5]
City Hall,4.807223,,"[6, 17]"
Bottle Rocket,6.904831,,"[3, 4, 6]"
Mr. Wrong,3.329264,,"[3, 14]"
Unforgettable,2.464425,,"[6, 13, 15, 17]"
Happy Gilmore,9.592265,,[3]
The Bridges of Madison County,5.951077,,"[6, 14]"
Nobody Loves Me,1.015068,,"[6, 3, 7]"
Muppet Treasure Island,6.902423,The Muppet Collection,"[0, 3, 12, 7, 1]"
Catwalk,0.976707,,[5]
Headless Body in Topless Bar,0.001346,,[4]
Braveheart,20.755149,,"[0, 6, 10, 18]"
Taxi Driver,14.092713,,"[4, 6]"
Rumble in the Bronx,12.314278,,"[4, 0, 3, 17]"
Before and After,2.938293,,"[6, 17]"
Margaret's Museum,0.372697,,[6]
Happiness Is in the Field,1.254885,,[3]
Anne Frank Remembered,0.243986,,"[5, 6, 9]"
The Young Poisoner's Handbook,6.178497,,"[3, 4, 6]"
If Lucy Fell,2.891918,,"[3, 14]"
Steal Big Steal Little,1.522412,,"[3, 6]"
Race the Sun,1.317878,,"[0, 1, 3, 6, 7]"
The Boys of St. Vincent,0.86539,,[6]
Boomerang,6.506983,,"[3, 14]"
Chungking Express,6.778979,,"[6, 3, 14]"
The Star Maker,1.702639,,"[6, 14]"
