title,popularity,collection,genres_encoded
Among Friends,3.825472,No Collection,"[3, 11]"
"Sorry, Haters",1.359754,No Collection,[6]
Gone,9.384244,No Collection,"[6, 17]"
The Three Marias,0.153388,No Collection,"[6, 9]"
The Overnight,7.834161,No Collection,"[13, 3]"
Lahore,0.016925,No Collection,"[0, 9]"
Friday the 13th: The Final Chapter,10.175913,Friday the 13th Collection,"[11, 17]"
American Wedding,14.397139,American Pie Collection,"[3, 14]"
The Summit,6.312295,No Collection,"[1, 5]"
Sleeping Beauty,14.276169,No Collection,"[8, 2, 14, 7]"
Q Planes,0.441487,No Collection,"[3, 13, 17]"
Trespass,9.540381,No Collection,"[4, 6, 17]"
Beta Test,2.053175,No Collection,"[17, 0, 15]"
Loafing and Camouflage: Sirens in the Aegean,0.624186,No Collection,[3]
Atlantic Records: The House That Ahmet Built,0.167895,No Collection,[]
Herbie Hancock: Possibilities,0.360934,No Collection,[12]
Citizenfour,6.584217,No Collection,[5]
T-Men,4.237738,No Collection,"[17, 4]"
All in a Night's Work,0.313856,No Collection,"[3, 14]"
Too Many Husbands,0.539853,No Collection,[3]
Curb Dance,0.266119,No Collection,[]
The New Babylon,0.074347,No Collection,"[6, 10, 18]"
Middle of Nowhere,11.295267,No Collection,"[3, 6]"
Pulse,5.398337,No Collection,"[11, 15]"
About Sarah,0.316756,No Collection,[6]
Pretty Cool,0.253802,No Collection,"[8, 3]"
Dallas 362,0.631613,No Collection,[6]
The Pervert's Guide to Ideology,1.556451,No Collection,[5]
A Werewolf Boy,3.783265,No Collection,"[8, 14]"
A Holiday Heist,1.291352,No Collection,"[3, 14]"
Weiner,2.990039,No Collection,[5]
Always Outnumbered,0.86635,No Collection,"[6, 16]"
The Story of Film: An Odyssey,1.50251,No Collection,[5]
Joe Cocker - Mad Dogs & Englishmen,0.035284,No Collection,"[12, 5]"
The Human Centipede 2 (Full Sequence),16.257143,The Human Centipede Collection,"[6, 11, 4]"
Alienate,3.21853,No Collection,"[6, 11, 15]"
Ween: Live in Chicago,0.043068,No Collection,[]
God Bless Ozzy Osbourne,0.420825,No Collection,"[5, 12]"
Offender,1.462095,No Collection,[17]
Volcano High,1.941389,No Collection,"[0, 3]"
Free Hand for a Tough Cop,0.57288,No Collection,"[0, 4]"
Wrongfully Accused,9.852635,No Collection,"[0, 1, 3]"
Kathy Griffin: Pants Off,0.027572,No Collection,[3]
Underworld,20.624333,Underworld Collection,"[8, 0, 17]"
War Room,5.384163,No Collection,[6]
The Nutcracker Prince,2.185471,No Collection,"[2, 7]"
Gabriel Iglesias: I'm Not Fat... I'm Fluffy,1.227496,No Collection,[3]
The Suitor,0.265256,No Collection,"[3, 6]"
Razzia,0.626395,No Collection,"[4, 6]"
Close Your Eyes,6.327386,No Collection,"[4, 11, 17, 13]"
The Swedish Theory of Love,0.920892,No Collection,[5]
Enter the Dragon,10.687757,No Collection,"[0, 4, 17]"
The Royal Tenenbaums,9.707542,No Collection,"[3, 6]"
Without Warning,0.678068,No Collection,"[0, 6, 15, 16]"
Tony Rome,1.99092,No Collection,"[4, 13, 17]"
The Diamond Queen,0.0019,No Collection,"[14, 1]"
Waist Deep,4.212434,No Collection,"[0, 1, 6, 17]"
Fiesta,0.329837,No Collection,"[6, 12, 14]"
True Crime,1.217249,No Collection,"[4, 13, 17]"
The Men Who Tread on the Tiger's Tail,2.137943,No Collection,"[6, 3]"
Back in Crime,1.96973,No Collection,"[4, 8]"
Resident Evil: Damnation,16.532373,Resident Evil: Biohazard,[2]
"Love, Rosie",14.566103,No Collection,"[3, 14]"
No manches Frida,19.454717,No Collection,[3]
The Emoji Movie,33.694599,No Collection,"[3, 7, 2]"
Road to Istanbul,0.332145,No Collection,[6]
Ciudad de Ciegos,0.087611,No Collection,[]
Broken Sky,1.58991,No Collection,"[6, 14, 9]"
Jönssonligan dyker upp igen,1.24269,Jönsson Gang,"[4, 3]"
The Inheritance,1.599982,Per Fly trilogien (Samling),[6]
The Body Farm,0.997362,No Collection,[]
The Newburgh Sting,0.535827,No Collection,[5]
Trumbo,1.666664,No Collection,[5]
The Tiger's Tail,1.709576,No Collection,"[6, 3, 4]"
Boccaccio '70,4.29255,No Collection,"[14, 8, 3]"
Bruce Lee: A Warrior's Journey,1.165594,No Collection,[5]
Enemy,12.66992,No Collection,"[17, 13]"
The Burrowers,5.59423,No Collection,"[0, 11, 19]"
The Gamechangers,1.222142,No Collection,"[6, 16]"
Princess and the Pony,0.522892,No Collection,"[6, 7]"
Expelled,9.323591,No Collection,[3]
Landscape Suicide,0.015894,No Collection,[]
Me and Morrison,1.291258,No Collection,[14]
The Crime of Monsieur Lange,0.573137,No Collection,"[6, 4]"
Buckskin Frontier,0.298715,No Collection,[19]
This Ain’t California,0.76798,No Collection,"[5, 10]"
Zigzag of Success,0.171137,No Collection,[3]
Angels in America,6.386873,No Collection,"[6, 8]"
Beyond the Time Barrier,0.518062,No Collection,"[14, 15]"
The Seventh Continent,5.694032,Trilogía de la violencia de Michael Haneke,[6]
La pelle,0.679038,No Collection,"[6, 18]"
The Laughing Policeman,1.579142,No Collection,"[4, 6, 17]"
Such a Pretty Little Beach,0.632151,No Collection,[6]
"Sarah, Plain and Tall",1.66074,"Sarah, Plain and Tall Collection","[6, 7]"
This Is Elvis,0.303062,No Collection,"[6, 12, 5]"
The Bar,20.720113,No Collection,"[11, 17, 3]"
Kike Like Me,0.00496,No Collection,"[16, 5]"
Catch Me Daddy,1.533354,No Collection,[17]
The Weathering Continent,0.0796,No Collection,"[8, 2]"
Mademoiselle,0.612006,No Collection,[6]
Panda! Go Panda!,2.213026,Panda! Go Panda! Collección,"[2, 7, 3]"
The Squaw Man,0.302413,No Collection,[19]
Certified Copy,10.701501,No Collection,"[6, 14]"
Shinjuku Boys,0.100415,No Collection,[]
Mr. & Mrs. Smith,15.724373,No Collection,"[0, 3, 6, 17]"
5 Days of War,3.174512,No Collection,"[18, 6]"
The Killing of a Chinese Bookie,2.037561,No Collection,"[17, 4, 6]"
Tim and Eric's Billion Dollar Movie,1.870115,No Collection,[3]
High Roller: The Stu Ungar Story,0.888157,No Collection,"[6, 0]"
Rush,10.63552,No Collection,"[6, 0]"
Hollywood or Bust,0.695757,No Collection,[3]
The Alien Saga,0.145984,No Collection,"[5, 15]"
The Year of the Hare,0.680347,No Collection,"[3, 6]"
Off the Black,0.708427,No Collection,[6]
Don't Tell Anyone,0.802286,No Collection,"[3, 6]"
The Slow Business of Going,0.152958,No Collection,[]
Drive Angry,7.668829,No Collection,"[8, 17, 0, 4]"
Callan,0.000308,No Collection,[17]
The 7 Grandmasters,0.62682,No Collection,"[0, 9]"
Amira & Sam,7.175939,No Collection,"[6, 14, 3]"
Sounder,0.641964,No Collection,[]
